pos,flw,flg,bl,pic,lin,cl,cz,ni,erl,erc,lt,hc,pr,fo,cs,pi,prob_gradient_boosting,clase_gradient_boosting,prob_random_forest,clase_random_forest,prob_arbol_decision,clase_arbol_decision,prob_regresion_logistica,clase_regresion_logistica,prob_red_neuronal_mlp,clase_red_neuronal_mlp,votos_falsa,veredicto,etiqueta_real
226.0,8600.0,6300.0,171.0,1.0,1.0,634.0,0.1111111119,0.1110000014,0.0799999982,0.0099999998,0.0,1.6670000553,0.0,0.0,0.2037779987,16.044721603,0.2022,AUTENTICA,0.11,AUTENTICA,0.163,AUTENTICA,0.3745,AUTENTICA,0.2073,AUTENTICA,0,AUTENTICA,AUTENTICA
287.0,313.0,1400.0,52.0,1.0,0.0,13.0,0.555555582,0.0560000017,18.739999771,0.4799999893,0.0560000017,0.1669999957,0.0,0.0,0.2973339856,7.9310488701,0.2882,AUTENTICA,0.44,AUTENTICA,0.0083,AUTENTICA,0.7056,FALSA,0.3847,AUTENTICA,1,AUTENTICA,AUTENTICA
6.0,907.0,2200.0,0.0,1.0,0.0,9.0,0.3333333433,0.3330000043,9.4300003052,0.6100000143,0.1669999957,0.0,0.0,0.0,0.066666998,5606.6220703,0.1864,AUTENTICA,0.2833,AUTENTICA,0.0918,AUTENTICA,0.5024,FALSA,0.101,AUTENTICA,1,AUTENTICA,FALSA
112.0,863.0,756.0,84.0,1.0,0.0,268.0,0.055555556,0.5,27.399999619,1.1900000572,0.5559999943,2.5,0.0,0.0560000017,0.0151770003,843.894104,0.0129,AUTENTICA,0.04,AUTENTICA,0.0347,AUTENTICA,0.0502,AUTENTICA,0.0059,AUTENTICA,0,AUTENTICA,AUTENTICA
24.0,179.0,421.0,16.0,1.0,0.0,1.0,0.8888888955,0.5559999943,5.7699999809,0.4699999988,0.1669999957,0.0,0.0,0.0,0.7843139768,983.88476562,0.9336,FALSA,0.9833,FALSA,1.0,FALSA,0.5769,FALSA,0.9964,FALSA,5,FALSA,FALSA
80.0,1100.0,555.0,93.0,1.0,1.0,55.0,0.055555556,0.0560000017,14.539999962,0.2399999946,1.0,1.5,0.0,0.0560000017,0.0284150001,1398.7130127,0.0183,AUTENTICA,0.01,AUTENTICA,0.0171,AUTENTICA,0.0043,AUTENTICA,0.0025,AUTENTICA,0,AUTENTICA,AUTENTICA
59.0,10300.0,7500.0,79.0,1.0,1.0,25.0,0.1111111119,0.1110000014,1.0700000525,0.0399999991,0.5,0.6669999957,0.0,0.0,0.0245159995,391.26074219,0.3158,AUTENTICA,0.1533,AUTENTICA,0.2593,AUTENTICA,0.0852,AUTENTICA,0.1627,AUTENTICA,0,AUTENTICA,FALSA
162.0,174.0,553.0,85.0,1.0,0.0,29.0,0.0,0.1110000014,3.8599998951,0.3199999928,0.0,0.2779999971,0.0,0.0,0.008037,257.60671997,0.9929,FALSA,1.0,FALSA,1.0,FALSA,0.6589,FALSA,1.0,FALSA,5,FALSA,FALSA
21.0,356.0,1500.0,0.0,1.0,0.0,13.0,0.555555582,0.2779999971,2.8399999142,0.0299999993,0.1110000014,0.0,0.0,0.0,0.2980389893,721.26495361,0.9971,FALSA,1.0,FALSA,1.0,FALSA,0.9321,FALSA,1.0,FALSA,5,FALSA,FALSA
61.0,776.0,647.0,75.0,1.0,1.0,40.0,0.0,0.0560000017,15.720000267,0.6399999857,0.7220000029,0.1669999957,0.0,0.0,0.0066849999,918.41638184,0.0111,AUTENTICA,0.0233,AUTENTICA,0.0083,AUTENTICA,0.0063,AUTENTICA,0.0057,AUTENTICA,0,AUTENTICA,AUTENTICA
